********************************
Building MDP
Solving using modified Policy Iteration
********************************
Printing Solution
Solution of MDP problem 
Size of the state space : 1616
Dimension to follow : 1
#############################################
# Average Cost (only for average models) :        0.0304523
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	          118.93   1
 etat : 1	(   0,   1)	         119.048   1
 etat : 2	(   0,   2)	          119.18   2
 etat : 3	(   0,   3)	         119.323   2
 etat : 4	(   0,   4)	         119.484   2
 etat : 5	(   0,   5)	         119.654   2
 etat : 6	(   0,   6)	          119.84   2
 etat : 7	(   0,   7)	          120.04   2
 etat : 8	(   0,   8)	         120.253   2
 etat : 9	(   0,   9)	         120.481   2
 etat : 10	(   0,  10)	         120.725   2
 etat : 11	(   0,  11)	         120.982   2
 etat : 12	(   0,  12)	         121.258   2
 etat : 13	(   0,  13)	         121.553   2
 etat : 14	(   0,  14)	         121.869   2
 etat : 15	(   0,  15)	         122.208   2
 etat : 16	(   0,  16)	         122.572   2
 etat : 17	(   0,  17)	          122.96   2
 etat : 18	(   0,  18)	         123.372   2
 etat : 19	(   0,  19)	          123.81   2
 etat : 20	(   0,  20)	         124.272   2
 etat : 21	(   0,  21)	         124.759   2
 etat : 22	(   0,  22)	          125.27   2
 etat : 23	(   0,  23)	         125.806   2
 etat : 24	(   0,  24)	         126.365   2
 etat : 25	(   0,  25)	         126.948   2
 etat : 26	(   0,  26)	         127.553   2
 etat : 27	(   0,  27)	          128.18   2
 etat : 28	(   0,  28)	         128.827   2
 etat : 29	(   0,  29)	         129.492   2
 etat : 30	(   0,  30)	         130.173   2
 etat : 31	(   0,  31)	         130.865   2
 etat : 32	(   0,  32)	         131.564   2
 etat : 33	(   0,  33)	         132.265   2
 etat : 34	(   0,  34)	         132.959   2
 etat : 35	(   0,  35)	         133.647   2
 etat : 36	(   0,  36)	          134.32   2
 etat : 37	(   0,  37)	         134.987   2
 etat : 38	(   0,  38)	         135.643   2
 etat : 39	(   0,  39)	         136.304   2
 etat : 40	(   0,  40)	         136.966   2
 etat : 41	(   0,  41)	         137.639   2
 etat : 42	(   0,  42)	         138.323   2
 etat : 43	(   0,  43)	         139.019   2
 etat : 44	(   0,  44)	         139.726   2
 etat : 45	(   0,  45)	          140.44   2
 etat : 46	(   0,  46)	         141.156   2
 etat : 47	(   0,  47)	         141.874   2
 etat : 48	(   0,  48)	         142.583   2
 etat : 49	(   0,  49)	         143.288   2
 etat : 50	(   0,  50)	          143.98   2
 etat : 51	(   0,  51)	          144.67   2
 etat : 52	(   0,  52)	         145.351   2
 etat : 53	(   0,  53)	         146.037   2
 etat : 54	(   0,  54)	         146.725   2
 etat : 55	(   0,  55)	         147.421   2
 etat : 56	(   0,  56)	         148.126   2
 etat : 57	(   0,  57)	         148.839   2
 etat : 58	(   0,  58)	         149.559   2
 etat : 59	(   0,  59)	         150.283   2
 etat : 60	(   0,  60)	         151.006   2
 etat : 61	(   0,  61)	          151.73   2
 etat : 62	(   0,  62)	         152.444   2
 etat : 63	(   0,  63)	         153.156   2
 etat : 64	(   0,  64)	         153.857   2
 etat : 65	(   0,  65)	         154.559   2
 etat : 66	(   0,  66)	         155.255   2
 etat : 67	(   0,  67)	         155.957   2
 etat : 68	(   0,  68)	         156.661   2
 etat : 69	(   0,  69)	         157.372   2
 etat : 70	(   0,  70)	          158.09   2
 etat : 71	(   0,  71)	         158.814   2
 etat : 72	(   0,  72)	         159.541   2
 etat : 73	(   0,  73)	          160.27   2
 etat : 74	(   0,  74)	         160.997   2
 etat : 75	(   0,  75)	         161.723   2
 etat : 76	(   0,  76)	          162.44   2
 etat : 77	(   0,  77)	         163.156   2
 etat : 78	(   0,  78)	         163.865   2
 etat : 79	(   0,  79)	         164.575   2
 etat : 80	(   0,  80)	         165.283   2
 etat : 81	(   0,  81)	         165.996   2
 etat : 82	(   0,  82)	         166.712   2
 etat : 83	(   0,  83)	         167.434   2
 etat : 84	(   0,  84)	          168.16   2
 etat : 85	(   0,  85)	         168.891   2
 etat : 86	(   0,  86)	         169.623   2
 etat : 87	(   0,  87)	         170.355   2
 etat : 88	(   0,  88)	         171.085   2
 etat : 89	(   0,  89)	         171.816   2
 etat : 90	(   0,  90)	         172.545   2
 etat : 91	(   0,  91)	         173.286   2
 etat : 92	(   0,  92)	         174.053   2
 etat : 93	(   0,  93)	         174.896   2
 etat : 94	(   0,  94)	         175.916   2
 etat : 95	(   0,  95)	         177.325   2
 etat : 96	(   0,  96)	         179.537   2
 etat : 97	(   0,  97)	         183.254   2
 etat : 98	(   0,  98)	         189.621   2
 etat : 99	(   0,  99)	         200.458   2
 etat : 100	(   0, 100)	          219.77   2

 etat : 101	(   1,   0)	         116.952   1
 etat : 102	(   1,   1)	          117.06   1
 etat : 103	(   1,   2)	          117.18   1
 etat : 104	(   1,   3)	         117.316   2
 etat : 105	(   1,   4)	         117.458   2
 etat : 106	(   1,   5)	         117.619   2
 etat : 107	(   1,   6)	         117.791   2
 etat : 108	(   1,   7)	         117.976   2
 etat : 109	(   1,   8)	         118.178   2
