{'N': 101, 'M': 16, 'A': 3, 'lam': 50, 'mu': 5, 'K': 5, 'Ca': 0.01, 'Cr': 7.47, 'Cs': 0.01, 'Cp': 0.075, 'Ck': 2, 'W': 0.25, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 1616
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	      0.00350187   1
 etat : 1	(   0,   1)	      0.00377144   1
 etat : 2	(   0,   2)	      0.00410485   1
 etat : 3	(   0,   3)	      0.00449027   1
 etat : 4	(   0,   4)	      0.00493363   1
 etat : 5	(   0,   5)	      0.00544347   1
 etat : 6	(   0,   6)	      0.00602972   1
 etat : 7	(   0,   7)	      0.00670384   1
 etat : 8	(   0,   8)	        0.007479   1
 etat : 9	(   0,   9)	      0.00837035   1
 etat : 10	(   0,  10)	      0.00939529   1
 etat : 11	(   0,  11)	       0.0105739   1
 etat : 12	(   0,  12)	       0.0119291   1
 etat : 13	(   0,  13)	       0.0134874   1
 etat : 14	(   0,  14)	       0.0144898   2
 etat : 15	(   0,  15)	       0.0148154   2
 etat : 16	(   0,  16)	       0.0151948   2
 etat : 17	(   0,  17)	       0.0156369   2
 etat : 18	(   0,  18)	        0.016152   2
 etat : 19	(   0,  19)	       0.0167522   2
 etat : 20	(   0,  20)	       0.0174515   2
 etat : 21	(   0,  21)	       0.0182664   2
 etat : 22	(   0,  22)	       0.0192159   2
 etat : 23	(   0,  23)	       0.0203223   2
 etat : 24	(   0,  24)	       0.0216114   2
 etat : 25	(   0,  25)	       0.0231135   2
 etat : 26	(   0,  26)	       0.0248638   2
 etat : 27	(   0,  27)	       0.0265458   2
 etat : 28	(   0,  28)	       0.0280787   2
 etat : 29	(   0,  29)	       0.0296424   2
 etat : 30	(   0,  30)	       0.0312763   2
 etat : 31	(   0,  31)	       0.0329931   2
 etat : 32	(   0,  32)	       0.0348082   2
 etat : 33	(   0,  33)	       0.0367394   2
 etat : 34	(   0,  34)	       0.0388082   2
 etat : 35	(   0,  35)	       0.0410398   2
 etat : 36	(   0,  36)	       0.0434639   2
 etat : 37	(   0,  37)	       0.0461158   2
 etat : 38	(   0,  38)	       0.0487359   2
 etat : 39	(   0,  39)	       0.0513485   2
 etat : 40	(   0,  40)	       0.0538248   2
 etat : 41	(   0,  41)	       0.0563386   2
 etat : 42	(   0,  42)	       0.0588842   2
 etat : 43	(   0,  43)	       0.0615072   2
 etat : 44	(   0,  44)	       0.0642236   2
 etat : 45	(   0,  45)	       0.0670525   2
 etat : 46	(   0,  46)	       0.0700169   2
 etat : 47	(   0,  47)	       0.0731445   2
 etat : 48	(   0,  48)	       0.0764689   2
 etat : 49	(   0,  49)	       0.0800303   2
 etat : 50	(   0,  50)	       0.0835357   2
 etat : 51	(   0,  51)	       0.0869938   2
 etat : 52	(   0,  52)	       0.0903457   2
 etat : 53	(   0,  53)	       0.0936742   2
 etat : 54	(   0,  54)	       0.0970157   2
 etat : 55	(   0,  55)	        0.100422   2
 etat : 56	(   0,  56)	        0.103917   2
 etat : 57	(   0,  57)	        0.107525   2
 etat : 58	(   0,  58)	        0.111274   2
 etat : 59	(   0,  59)	        0.115194   2
