{'N': 101, 'M': 6, 'A': 3, 'lam': 50, 'mu': 10, 'K': 10, 'Ca': 0.02, 'Cr': 13.41, 'Cs': 0.02, 'Cp': 0.134, 'Ck': 2, 'W': 0.25, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 606
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	      0.00819255   1
 etat : 1	(   0,   1)	      0.00872021   1
 etat : 2	(   0,   2)	       0.0094145   1
 etat : 3	(   0,   3)	       0.0102225   1
 etat : 4	(   0,   4)	       0.0111468   1
 etat : 5	(   0,   5)	       0.0122014   1
 etat : 6	(   0,   6)	       0.0134042   1
 etat : 7	(   0,   7)	       0.0147758   1
 etat : 8	(   0,   8)	       0.0163401   1
 etat : 9	(   0,   9)	        0.018124   1
 etat : 10	(   0,  10)	       0.0201584   1
 etat : 11	(   0,  11)	       0.0224785   1
 etat : 12	(   0,  12)	       0.0251243   1
 etat : 13	(   0,  13)	       0.0281416   1
 etat : 14	(   0,  14)	       0.0301721   2
 etat : 15	(   0,  15)	       0.0307787   2
 etat : 16	(   0,  16)	       0.0314916   2
 etat : 17	(   0,  17)	       0.0323298   2
 etat : 18	(   0,  18)	        0.033315   2
 etat : 19	(   0,  19)	       0.0344732   2
 etat : 20	(   0,  20)	       0.0358346   2
 etat : 21	(   0,  21)	       0.0374349   2
 etat : 22	(   0,  22)	       0.0393162   2
 etat : 23	(   0,  23)	       0.0415276   2
 etat : 24	(   0,  24)	       0.0441272   2
 etat : 25	(   0,  25)	        0.047183   2
 etat : 26	(   0,  26)	       0.0507752   2
 etat : 27	(   0,  27)	        0.053912   2
 etat : 28	(   0,  28)	       0.0565451   2
 etat : 29	(   0,  29)	       0.0590305   2
 etat : 30	(   0,  30)	       0.0616575   2
 etat : 31	(   0,  31)	       0.0644581   2
 etat : 32	(   0,  32)	       0.0674715   2
 etat : 33	(   0,  33)	       0.0707462   2
 etat : 34	(   0,  34)	       0.0743413   2
 etat : 35	(   0,  35)	       0.0783293   2
 etat : 36	(   0,  36)	       0.0827994   2
 etat : 37	(   0,  37)	       0.0878609   2
 etat : 38	(   0,  38)	       0.0927172   2
 etat : 39	(   0,  39)	       0.0975652   2
 etat : 40	(   0,  40)	        0.101672   2
 etat : 41	(   0,  41)	         0.10571   2
 etat : 42	(   0,  42)	          0.1096   2
 etat : 43	(   0,  43)	        0.113611   2
 etat : 44	(   0,  44)	        0.117813   2
 etat : 45	(   0,  45)	        0.122262   2
 etat : 46	(   0,  46)	        0.127032   2
 etat : 47	(   0,  47)	        0.132221   2
 etat : 48	(   0,  48)	        0.137954   2
 etat : 49	(   0,  49)	        0.144394   2
 etat : 50	(   0,  50)	        0.150739   2
 etat : 51	(   0,  51)	        0.157354   2
 etat : 52	(   0,  52)	        0.163083   2
 etat : 53	(   0,  53)	        0.168737   2
 etat : 54	(   0,  54)	        0.173829   2
 etat : 55	(   0,  55)	        0.178972   2
 etat : 56	(   0,  56)	         0.18414   2
 etat : 57	(   0,  57)	        0.189517   2
 etat : 58	(   0,  58)	        0.195188   2
 etat : 59	(   0,  59)	        0.201271   2
 etat : 60	(   0,  60)	        0.207933   2
 etat : 61	(   0,  61)	        0.215124   2
 etat : 62	(   0,  62)	        0.222694   2
 etat : 63	(   0,  63)	        0.230463   2
 etat : 64	(   0,  64)	        0.237822   2
 etat : 65	(   0,  65)	        0.245033   2
 etat : 66	(   0,  66)	        0.251594   2
 etat : 67	(   0,  67)	        0.258108   2
 etat : 68	(   0,  68)	        0.264461   2
 etat : 69	(   0,  69)	        0.271067   2
 etat : 70	(   0,  70)	        0.278055   2
 etat : 71	(   0,  71)	        0.285716   2
 etat : 72	(   0,  72)	        0.294408   2
 etat : 73	(   0,  73)	        0.304414   2
 etat : 74	(   0,  74)	        0.316222   2
 etat : 75	(   0,  75)	        0.329883   2
 etat : 76	(   0,  76)	        0.345667   2
 etat : 77	(   0,  77)	        0.363387   2
 etat : 78	(   0,  78)	        0.383042   2
 etat : 79	(   0,  79)	        0.404526   2
 etat : 80	(   0,  80)	        0.427922   2
 etat : 81	(   0,  81)	        0.453501   2
 etat : 82	(   0,  82)	        0.481841   2
 etat : 83	(   0,  83)	        0.513953   2
 etat : 84	(   0,  84)	         0.55149   2
 etat : 85	(   0,  85)	        0.597062   2
 etat : 86	(   0,  86)	        0.654733   2
 etat : 87	(   0,  87)	        0.730778   2
 etat : 88	(   0,  88)	        0.834858   2
 etat : 89	(   0,  89)	         0.98181   2
 etat : 90	(   0,  90)	          1.1944   2
