{'N': 101, 'M': 3, 'A': 3, 'lam': 50, 'mu': 20, 'K': 20, 'Ca': 0, 'Cr': 58.09, 'Cs': 0.04, 'Cp': 0.581, 'Ck': 2, 'W': 0.083, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 303
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	       0.0144852   1
 etat : 1	(   0,   1)	       0.0153204   1
 etat : 2	(   0,   2)	       0.0165864   1
 etat : 3	(   0,   3)	       0.0181713   1
 etat : 4	(   0,   4)	       0.0200673   1
 etat : 5	(   0,   5)	       0.0223072   2
 etat : 6	(   0,   6)	       0.0251203   2
 etat : 7	(   0,   7)	       0.0289077   2
 etat : 8	(   0,   8)	       0.0343245   2
 etat : 9	(   0,   9)	       0.0467929   2
 etat : 10	(   0,  10)	       0.0652018   2
 etat : 11	(   0,  11)	       0.0898331   2
 etat : 12	(   0,  12)	        0.124044   2
 etat : 13	(   0,  13)	        0.169461   2
 etat : 14	(   0,  14)	        0.226461   2
 etat : 15	(   0,  15)	        0.294025   2
 etat : 16	(   0,  16)	        0.369861   2
 etat : 17	(   0,  17)	         0.45217   2
 etat : 18	(   0,  18)	        0.539546   2
 etat : 19	(   0,  19)	        0.630889   2
 etat : 20	(   0,  20)	        0.725337   2
 etat : 21	(   0,  21)	        0.822215   2
 etat : 22	(   0,  22)	        0.920996   2
 etat : 23	(   0,  23)	         1.02127   2
 etat : 24	(   0,  24)	          1.1227   2
 etat : 25	(   0,  25)	         1.22505   2
 etat : 26	(   0,  26)	         1.32811   2
 etat : 27	(   0,  27)	         1.43173   2
 etat : 28	(   0,  28)	         1.53579   2
 etat : 29	(   0,  29)	          1.6402   2
 etat : 30	(   0,  30)	         1.74487   2
 etat : 31	(   0,  31)	         1.84975   2
 etat : 32	(   0,  32)	         1.95479   2
 etat : 33	(   0,  33)	         2.05996   2
 etat : 34	(   0,  34)	         2.16524   2
 etat : 35	(   0,  35)	         2.27059   2
 etat : 36	(   0,  36)	           2.376   2
 etat : 37	(   0,  37)	         2.48146   2
 etat : 38	(   0,  38)	         2.58696   2
 etat : 39	(   0,  39)	         2.69249   2
 etat : 40	(   0,  40)	         2.79805   2
 etat : 41	(   0,  41)	         2.90362   2
 etat : 42	(   0,  42)	          3.0092   2
 etat : 43	(   0,  43)	          3.1148   2
 etat : 44	(   0,  44)	          3.2204   2
 etat : 45	(   0,  45)	         3.32601   2
 etat : 46	(   0,  46)	         3.43163   2
 etat : 47	(   0,  47)	         3.53725   2
 etat : 48	(   0,  48)	         3.64287   2
 etat : 49	(   0,  49)	          3.7485   2
 etat : 50	(   0,  50)	         3.85413   2
 etat : 51	(   0,  51)	         3.95976   2
 etat : 52	(   0,  52)	         4.06539   2
 etat : 53	(   0,  53)	         4.17102   2
 etat : 54	(   0,  54)	         4.27666   2
 etat : 55	(   0,  55)	         4.38229   2
 etat : 56	(   0,  56)	         4.48793   2
 etat : 57	(   0,  57)	         4.59356   2
 etat : 58	(   0,  58)	          4.6992   2
 etat : 59	(   0,  59)	         4.80483   2
 etat : 60	(   0,  60)	         4.91047   2
 etat : 61	(   0,  61)	         5.01611   2
 etat : 62	(   0,  62)	         5.12175   2
 etat : 63	(   0,  63)	         5.22739   2
 etat : 64	(   0,  64)	         5.33303   2
 etat : 65	(   0,  65)	         5.43868   2
 etat : 66	(   0,  66)	         5.54434   2
 etat : 67	(   0,  67)	         5.65001   2
 etat : 68	(   0,  68)	         5.75569   2
 etat : 69	(   0,  69)	          5.8614   2
 etat : 70	(   0,  70)	         5.96715   2
 etat : 71	(   0,  71)	         6.07297   2
 etat : 72	(   0,  72)	         6.17888   2
 etat : 73	(   0,  73)	         6.28493   2
 etat : 74	(   0,  74)	         6.39121   2
 etat : 75	(   0,  75)	         6.49782   2
 etat : 76	(   0,  76)	         6.60496   2
 etat : 77	(   0,  77)	          6.7129   2
 etat : 78	(   0,  78)	         6.82207   2
 etat : 79	(   0,  79)	         6.93313   2
 etat : 80	(   0,  80)	         7.04708   2
 etat : 81	(   0,  81)	         7.16545   2
 etat : 82	(   0,  82)	         7.29061   2
 etat : 83	(   0,  83)	         7.42618   2
 etat : 84	(   0,  84)	         7.57771   2
 etat : 85	(   0,  85)	          7.7537   2
 etat : 86	(   0,  86)	         7.96719   2
 etat : 87	(   0,  87)	         8.23817   2
 etat : 88	(   0,  88)	         8.59728   2
 etat : 89	(   0,  89)	          9.0915   2
 etat : 90	(   0,  90)	         9.79284   2
 etat : 91	(   0,  91)	         10.8117   2
 etat : 92	(   0,  92)	         12.3173   2
 etat : 93	(   0,  93)	         14.5692   2
 etat : 94	(   0,  94)	         17.9651   2
 etat : 95	(   0,  95)	         23.1147   2
 etat : 96	(   0,  96)	         30.9528   2
 etat : 97	(   0,  97)	         42.9126   2
 etat : 98	(   0,  98)	         61.1909   2
 etat : 99	(   0,  99)	         89.1555   2
 etat : 100	(   0, 100)	           141.1   2

 etat : 101	(   1,   0)	       0.0144852   0
 etat : 102	(   1,   1)	       0.0153204   0
 etat : 103	(   1,   2)	       0.0165864   0
 etat : 104	(   1,   3)	       0.0181713   0
 etat : 105	(   1,   4)	       0.0200673   0
 etat : 106	(   1,   5)	       0.0223063   2
 etat : 107	(   1,   6)	       0.0249979   2
 etat : 108	(   1,   7)	        0.028596   2
 etat : 109	(   1,   8)	       0.0336987   2
 etat : 110	(   1,   9)	       0.0411975   2
 etat : 111	(   1,  10)	       0.0524401   2
 etat : 112	(   1,  11)	        0.069477   2
 etat : 113	(   1,  12)	       0.0954398   2
 etat : 114	(   1,  13)	         0.13512   2
 etat : 115	(   1,  14)	        0.189128   2
 etat : 116	(   1,  15)	        0.254351   2
 etat : 117	(   1,  16)	        0.328353   2
 etat : 118	(   1,  17)	        0.409227   2
 etat : 119	(   1,  18)	         0.49548   2
 etat : 120	(   1,  19)	        0.585944   2
 etat : 121	(   1,  20)	        0.679704   2
 etat : 122	(   1,  21)	        0.776044   2
 etat : 123	(   1,  22)	        0.874403   2
 etat : 124	(   1,  23)	        0.974343   2
 etat : 125	(   1,  24)	         1.07552   2
 etat : 126	(   1,  25)	         1.17767   2
 etat : 127	(   1,  26)	         1.28057   2
 etat : 128	(   1,  27)	         1.38407   2
 etat : 129	(   1,  28)	         1.48803   2
 etat : 130	(   1,  29)	         1.59236   2
 etat : 131	(   1,  30)	         1.69697   2
 etat : 132	(   1,  31)	          1.8018   2
 etat : 133	(   1,  32)	         1.90681   2
 etat : 134	(   1,  33)	         2.01195   2
 etat : 135	(   1,  34)	          2.1172   2
 etat : 136	(   1,  35)	         2.22254   2
 etat : 137	(   1,  36)	         2.32794   2
 etat : 138	(   1,  37)	         2.43339   2
 etat : 139	(   1,  38)	         2.53888   2
 etat : 140	(   1,  39)	          2.6444   2
 etat : 141	(   1,  40)	         2.74995   2
 etat : 142	(   1,  41)	         2.85552   2
 etat : 143	(   1,  42)	          2.9611   2
 etat : 144	(   1,  43)	         3.06669   2
 etat : 145	(   1,  44)	          3.1723   2
 etat : 146	(   1,  45)	         3.27791   2
 etat : 147	(   1,  46)	         3.38352   2
 etat : 148	(   1,  47)	         3.48914   2
 etat : 149	(   1,  48)	         3.59477   2
 etat : 150	(   1,  49)	         3.70039   2
 etat : 151	(   1,  50)	         3.80602   2
 etat : 152	(   1,  51)	         3.91165   2
 etat : 153	(   1,  52)	         4.01728   2
 etat : 154	(   1,  53)	         4.12291   2
 etat : 155	(   1,  54)	         4.22855   2
 etat : 156	(   1,  55)	         4.33418   2
 etat : 157	(   1,  56)	         4.43981   2
 etat : 158	(   1,  57)	         4.54545   2
 etat : 159	(   1,  58)	         4.65108   2
 etat : 160	(   1,  59)	         4.75672   2
 etat : 161	(   1,  60)	         4.86236   2
 etat : 162	(   1,  61)	         4.96799   2
 etat : 163	(   1,  62)	         5.07363   2
 etat : 164	(   1,  63)	         5.17927   2
 etat : 165	(   1,  64)	         5.28492   2
 etat : 166	(   1,  65)	         5.39057   2
 etat : 167	(   1,  66)	         5.49622   2
 etat : 168	(   1,  67)	         5.60189   2
 etat : 169	(   1,  68)	         5.70757   2
 etat : 170	(   1,  69)	         5.81328   2
 etat : 171	(   1,  70)	         5.91902   2
 etat : 172	(   1,  71)	         6.02482   2
 etat : 173	(   1,  72)	         6.13071   2
 etat : 174	(   1,  73)	         6.23674   2
 etat : 175	(   1,  74)	         6.34297   2
 etat : 176	(   1,  75)	         6.44952   2
 etat : 177	(   1,  76)	         6.55656   2
 etat : 178	(   1,  77)	         6.66434   2
 etat : 179	(   1,  78)	         6.77327   2
 etat : 180	(   1,  79)	         6.88396   2
 etat : 181	(   1,  80)	         6.99735   2
 etat : 182	(   1,  81)	         7.11486   2
 etat : 183	(   1,  82)	          7.2387   2
 etat : 184	(   1,  83)	         7.37224   2
 etat : 185	(   1,  84)	         7.52066   2
 etat : 186	(   1,  85)	         7.69189   2
 etat : 187	(   1,  86)	         7.89808   2
 etat : 188	(   1,  87)	         8.15787   2
 etat : 189	(   1,  88)	         8.49983   2
 etat : 190	(   1,  89)	         8.96774   2
 etat : 191	(   1,  90)	         9.62876   2
 etat : 192	(   1,  91)	         10.5858   2
 etat : 193	(   1,  92)	         11.9967   2
 etat : 194	(   1,  93)	         14.1033   2
 etat : 195	(   1,  94)	         17.2765   2
 etat : 196	(   1,  95)	         22.0847   2
 etat : 197	(   1,  96)	         29.3995   2
 etat : 198	(   1,  97)	          40.557   2
 etat : 199	(   1,  98)	         57.6053   2
 etat : 200	(   1,  99)	         83.6844   2
 etat : 201	(   1, 100)	         123.608   2

 etat : 202	(   2,   0)	         0.01524   0
 etat : 203	(   2,   1)	        0.015876   0
 etat : 204	(   2,   2)	       0.0167616   0
 etat : 205	(   2,   3)	       0.0182799   0
 etat : 206	(   2,   4)	       0.0201105   0
 etat : 207	(   2,   5)	       0.0223063   1
 etat : 208	(   2,   6)	       0.0249979   1
 etat : 209	(   2,   7)	        0.028596   1
 etat : 210	(   2,   8)	       0.0336987   1
 etat : 211	(   2,   9)	       0.0411975   1
 etat : 212	(   2,  10)	       0.0524401   1
 etat : 213	(   2,  11)	        0.069477   1
 etat : 214	(   2,  12)	       0.0954398   1
 etat : 215	(   2,  13)	         0.13512   1
 etat : 216	(   2,  14)	        0.189128   1
 etat : 217	(   2,  15)	        0.254351   1
 etat : 218	(   2,  16)	        0.328353   1
 etat : 219	(   2,  17)	        0.409227   1
 etat : 220	(   2,  18)	         0.49548   1
 etat : 221	(   2,  19)	        0.585944   1
 etat : 222	(   2,  20)	        0.679704   1
 etat : 223	(   2,  21)	        0.776044   1
 etat : 224	(   2,  22)	        0.874403   1
 etat : 225	(   2,  23)	        0.974343   1
 etat : 226	(   2,  24)	         1.07552   1
 etat : 227	(   2,  25)	         1.17767   1
 etat : 228	(   2,  26)	         1.28057   1
 etat : 229	(   2,  27)	         1.38407   1
 etat : 230	(   2,  28)	         1.48803   1
 etat : 231	(   2,  29)	         1.59236   1
 etat : 232	(   2,  30)	         1.69697   1
 etat : 233	(   2,  31)	          1.8018   1
 etat : 234	(   2,  32)	         1.90681   1
 etat : 235	(   2,  33)	         2.01195   1
 etat : 236	(   2,  34)	          2.1172   1
 etat : 237	(   2,  35)	         2.22254   1
 etat : 238	(   2,  36)	         2.32794   1
 etat : 239	(   2,  37)	         2.43339   1
 etat : 240	(   2,  38)	         2.53888   1
 etat : 241	(   2,  39)	          2.6444   1
 etat : 242	(   2,  40)	         2.74995   1
 etat : 243	(   2,  41)	         2.85552   1
 etat : 244	(   2,  42)	          2.9611   1
 etat : 245	(   2,  43)	         3.06669   1
 etat : 246	(   2,  44)	          3.1723   1
 etat : 247	(   2,  45)	         3.27791   1
 etat : 248	(   2,  46)	         3.38352   1
 etat : 249	(   2,  47)	         3.48914   1
 etat : 250	(   2,  48)	         3.59477   1
 etat : 251	(   2,  49)	         3.70039   1
 etat : 252	(   2,  50)	         3.80602   1
 etat : 253	(   2,  51)	         3.91165   1
 etat : 254	(   2,  52)	         4.01728   1
 etat : 255	(   2,  53)	         4.12291   1
 etat : 256	(   2,  54)	         4.22855   1
 etat : 257	(   2,  55)	         4.33418   1
 etat : 258	(   2,  56)	         4.43981   1
 etat : 259	(   2,  57)	         4.54545   1
 etat : 260	(   2,  58)	         4.65108   1
 etat : 261	(   2,  59)	         4.75672   1
 etat : 262	(   2,  60)	         4.86236   1
 etat : 263	(   2,  61)	         4.96799   1
 etat : 264	(   2,  62)	         5.07363   1
 etat : 265	(   2,  63)	         5.17927   1
 etat : 266	(   2,  64)	         5.28492   1
 etat : 267	(   2,  65)	         5.39057   1
 etat : 268	(   2,  66)	         5.49622   1
 etat : 269	(   2,  67)	         5.60189   1
 etat : 270	(   2,  68)	         5.70757   1
 etat : 271	(   2,  69)	         5.81328   1
 etat : 272	(   2,  70)	         5.91902   1
 etat : 273	(   2,  71)	         6.02482   1
 etat : 274	(   2,  72)	         6.13071   1
 etat : 275	(   2,  73)	         6.23674   1
 etat : 276	(   2,  74)	         6.34297   1
 etat : 277	(   2,  75)	         6.44952   1
 etat : 278	(   2,  76)	         6.55656   1
 etat : 279	(   2,  77)	         6.66434   1
 etat : 280	(   2,  78)	         6.77327   1
 etat : 281	(   2,  79)	         6.88396   1
 etat : 282	(   2,  80)	         6.99735   1
 etat : 283	(   2,  81)	         7.11486   1
 etat : 284	(   2,  82)	          7.2387   1
 etat : 285	(   2,  83)	         7.37224   1
 etat : 286	(   2,  84)	         7.52066   1
 etat : 287	(   2,  85)	         7.69189   1
 etat : 288	(   2,  86)	         7.89808   1
 etat : 289	(   2,  87)	         8.15787   1
 etat : 290	(   2,  88)	         8.49983   1
 etat : 291	(   2,  89)	         8.96774   1
 etat : 292	(   2,  90)	         9.62876   1
 etat : 293	(   2,  91)	         10.5858   1
 etat : 294	(   2,  92)	         11.9967   1
 etat : 295	(   2,  93)	         14.1033   1
 etat : 296	(   2,  94)	         17.2765   1
 etat : 297	(   2,  95)	         22.0847   1
 etat : 298	(   2,  96)	         29.3995   1
 etat : 299	(   2,  97)	          40.557   1
 etat : 300	(   2,  98)	         57.6053   1
 etat : 301	(   2,  99)	         83.6844   1
 etat : 302	(   2, 100)	         123.608   1

#############################################

Policy iteration solution, Adversarial Attack Decision
Solution of MDP problem 
Size of the state space : 303
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	     0.000718579   0
 etat : 1	(   0,   1)	     0.000716076   0
 etat : 2	(   0,   2)	     0.000709648   0
 etat : 3	(   0,   3)	     0.000694139   0
 etat : 4	(   0,   4)	     0.000656877   0
 etat : 5	(   0,   5)	     0.000567376   0
 etat : 6	(   0,   6)	               0   0
 etat : 7	(   0,   7)	               0   0
 etat : 8	(   0,   8)	               0   0
 etat : 9	(   0,   9)	               0   0
 etat : 10	(   0,  10)	               0   0
 etat : 11	(   0,  11)	               0   0
 etat : 12	(   0,  12)	               0   0
 etat : 13	(   0,  13)	               0   0
 etat : 14	(   0,  14)	               0   0
 etat : 15	(   0,  15)	               0   0
 etat : 16	(   0,  16)	               0   0
 etat : 17	(   0,  17)	               0   0
 etat : 18	(   0,  18)	               0   0
 etat : 19	(   0,  19)	               0   0
 etat : 20	(   0,  20)	               0   0
 etat : 21	(   0,  21)	               0   0
 etat : 22	(   0,  22)	               0   0
 etat : 23	(   0,  23)	               0   0
 etat : 24	(   0,  24)	               0   0
 etat : 25	(   0,  25)	               0   0
 etat : 26	(   0,  26)	               0   0
 etat : 27	(   0,  27)	               0   0
 etat : 28	(   0,  28)	               0   0
 etat : 29	(   0,  29)	               0   0
 etat : 30	(   0,  30)	               0   0
 etat : 31	(   0,  31)	               0   0
 etat : 32	(   0,  32)	               0   0
 etat : 33	(   0,  33)	               0   0
 etat : 34	(   0,  34)	               0   0
 etat : 35	(   0,  35)	               0   0
 etat : 36	(   0,  36)	               0   0
 etat : 37	(   0,  37)	               0   0
 etat : 38	(   0,  38)	               0   0
 etat : 39	(   0,  39)	               0   0
 etat : 40	(   0,  40)	               0   0
 etat : 41	(   0,  41)	               0   0
 etat : 42	(   0,  42)	               0   0
 etat : 43	(   0,  43)	               0   0
 etat : 44	(   0,  44)	               0   0
 etat : 45	(   0,  45)	               0   0
 etat : 46	(   0,  46)	               0   0
 etat : 47	(   0,  47)	               0   0
 etat : 48	(   0,  48)	               0   0
 etat : 49	(   0,  49)	               0   0
 etat : 50	(   0,  50)	               0   0
 etat : 51	(   0,  51)	               0   0
 etat : 52	(   0,  52)	               0   0
 etat : 53	(   0,  53)	               0   0
 etat : 54	(   0,  54)	               0   0
 etat : 55	(   0,  55)	               0   0
 etat : 56	(   0,  56)	               0   0
 etat : 57	(   0,  57)	               0   0
 etat : 58	(   0,  58)	               0   0
 etat : 59	(   0,  59)	               0   0
 etat : 60	(   0,  60)	               0   0
 etat : 61	(   0,  61)	               0   0
 etat : 62	(   0,  62)	               0   0
 etat : 63	(   0,  63)	               0   0
 etat : 64	(   0,  64)	               0   0
 etat : 65	(   0,  65)	               0   0
 etat : 66	(   0,  66)	               0   0
 etat : 67	(   0,  67)	               0   0
 etat : 68	(   0,  68)	               0   0
 etat : 69	(   0,  69)	               0   0
 etat : 70	(   0,  70)	               0   0
 etat : 71	(   0,  71)	               0   0
 etat : 72	(   0,  72)	               0   0
 etat : 73	(   0,  73)	               0   0
 etat : 74	(   0,  74)	               0   0
 etat : 75	(   0,  75)	               0   0
 etat : 76	(   0,  76)	               0   0
 etat : 77	(   0,  77)	               0   0
 etat : 78	(   0,  78)	               0   0
 etat : 79	(   0,  79)	               0   0
 etat : 80	(   0,  80)	               0   0
 etat : 81	(   0,  81)	               0   0
 etat : 82	(   0,  82)	               0   0
 etat : 83	(   0,  83)	               0   0
 etat : 84	(   0,  84)	               0   0
 etat : 85	(   0,  85)	               0   0
 etat : 86	(   0,  86)	               0   0
 etat : 87	(   0,  87)	               0   0
 etat : 88	(   0,  88)	               0   0
 etat : 89	(   0,  89)	               0   0
 etat : 90	(   0,  90)	               0   0
 etat : 91	(   0,  91)	               0   0
 etat : 92	(   0,  92)	               0   0
 etat : 93	(   0,  93)	               0   0
 etat : 94	(   0,  94)	               0   0
 etat : 95	(   0,  95)	               0   0
 etat : 96	(   0,  96)	               0   0
 etat : 97	(   0,  97)	               0   0
 etat : 98	(   0,  98)	               0   0
 etat : 99	(   0,  99)	               0   0
 etat : 100	(   0, 100)	               0   0

 etat : 101	(   1,   0)	               0   0
 etat : 102	(   1,   1)	               0   0
 etat : 103	(   1,   2)	               0   0
