{'N': 11, 'M': 3, 'A': 3, 'lam': 20, 'mu': 10, 'Ca': 0, 'Cr': 1, 'Cs': 0.09, 'Cp': 0.05, 'W': 0.2, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 33
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	        0.082062   1
 etat : 1	(   0,   1)	       0.0881292   1
 etat : 2	(   0,   2)	       0.0980284   2
 etat : 3	(   0,   3)	        0.112263   2
 etat : 4	(   0,   4)	        0.134376   2
 etat : 5	(   0,   5)	        0.171314   2
 etat : 6	(   0,   6)	         0.23535   2
 etat : 7	(   0,   7)	         0.34846   2
 etat : 8	(   0,   8)	        0.550063   2
 etat : 9	(   0,   9)	        0.912168   2
 etat : 10	(   0,  10)	         1.68243   2

 etat : 11	(   1,   0)	        0.082062   0
 etat : 12	(   1,   1)	       0.0881292   0
 etat : 13	(   1,   2)	       0.0980284   1
 etat : 14	(   1,   3)	        0.111359   2
 etat : 15	(   1,   4)	        0.131802   2
 etat : 16	(   1,   5)	        0.165607   2
 etat : 17	(   1,   6)	        0.223899   2
 etat : 18	(   1,   7)	        0.326593   2
 etat : 19	(   1,   8)	        0.509404   2
 etat : 20	(   1,   9)	        0.836443   2
 etat : 21	(   1,  10)	         1.42285   2

 etat : 22	(   2,   0)	       0.0862481   0
 etat : 23	(   2,   1)	       0.0910325   0
 etat : 24	(   2,   2)	       0.0980284   0
 etat : 25	(   2,   3)	        0.111359   1
 etat : 26	(   2,   4)	        0.131802   1
 etat : 27	(   2,   5)	        0.165607   1
 etat : 28	(   2,   6)	        0.223899   1
 etat : 29	(   2,   7)	        0.326593   1
 etat : 30	(   2,   8)	        0.509404   1
 etat : 31	(   2,   9)	        0.836443   1
 etat : 32	(   2,  10)	         1.42285   1

#############################################

