{'N': 11, 'M': 3, 'A': 3, 'lam': 20, 'mu': 10, 'Ca': 0.09, 'Cr': 1, 'Cs': 0.09, 'Cp': 0.05, 'W': 0.2, 'beta': 0.95, 'epsilon': 0.0001, 'maxIter': 10000, 'INF': 20000000000000000000000000000000000}
Value iteration solution
Solution of MDP problem 
Size of the state space : 33
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	        0.160861   1
 etat : 1	(   0,   1)	        0.177297   1
 etat : 2	(   0,   2)	        0.204112   1
 etat : 3	(   0,   3)	        0.239646   1
 etat : 4	(   0,   4)	        0.284215   1
 etat : 5	(   0,   5)	        0.339166   2
 etat : 6	(   0,   6)	        0.413092   2
 etat : 7	(   0,   7)	        0.532531   2
 etat : 8	(   0,   8)	        0.735478   2
 etat : 9	(   0,   9)	         1.12204   2
 etat : 10	(   0,  10)	         1.93915   2

 etat : 11	(   1,   0)	        0.126163   1
 etat : 12	(   1,   1)	        0.133296   1
 etat : 13	(   1,   2)	        0.144934   1
 etat : 14	(   1,   3)	        0.166175   1
 etat : 15	(   1,   4)	        0.199814   1
 etat : 16	(   1,   5)	        0.250277   1
 etat : 17	(   1,   6)	        0.324203   1
 etat : 18	(   1,   7)	        0.431321   2
 etat : 19	(   1,   8)	        0.611988   2
 etat : 20	(   1,   9)	        0.937467   2
 etat : 21	(   1,  10)	         1.57815   2

 etat : 22	(   2,   0)	        0.127016   1
 etat : 23	(   2,   1)	        0.129524   1
 etat : 24	(   2,   2)	        0.133616   1
 etat : 25	(   2,   3)	        0.141085   1
 etat : 26	(   2,   4)	        0.156647   1
 etat : 27	(   2,   5)	        0.186399   1
 etat : 28	(   2,   6)	        0.241347   1
 etat : 29	(   2,   7)	        0.341321   1
 etat : 30	(   2,   8)	        0.521988   1
 etat : 31	(   2,   9)	        0.847467   1
 etat : 32	(   2,  10)	         1.43299   1

#############################################

