********************************
Building MDP
Solving using modified Policy Iteration
********************************
Printing Solution
Solution of MDP problem 
Size of the state space : 24
Dimension to follow : 1
#############################################
# Solution of the entered problem model:
# - column 1: index of the state
# - column 2: Value function 
# - column 3: Optimal action 
#
 etat : 0	(   0,   0)	         19.5341   1
 etat : 1	(   0,   1)	         22.3307   1
 etat : 2	(   0,   2)	         26.4978   1
 etat : 3	(   0,   3)	         31.2542   2
 etat : 4	(   0,   4)	          36.415   2
 etat : 5	(   0,   5)	         44.8458   2

 etat : 6	(   1,   0)	         21.2732   0
 etat : 7	(   1,   1)	         23.2092   1
 etat : 8	(   1,   2)	            25.6   1
 etat : 9	(   1,   3)	         29.3125   1
 etat : 10	(   1,   4)	         34.4733   1
 etat : 11	(   1,   5)	         41.5773   2

 etat : 12	(   2,   0)	         23.0859   0
 etat : 13	(   2,   1)	         25.0884   0
 etat : 14	(   2,   2)	          27.204   1
 etat : 15	(   2,   3)	         29.5254   1
 etat : 16	(   2,   4)	         33.0699   1
 etat : 17	(   2,   5)	         38.7966   1

 etat : 18	(   3,   0)	         25.7252   0
 etat : 19	(   3,   1)	         27.2711   0
 etat : 20	(   3,   2)	         29.1457   0
 etat : 21	(   3,   3)	          31.487   1
 etat : 22	(   3,   4)	         34.1731   1
 etat : 23	(   3,   5)	         38.8994   1

#############################################

